Money Line,,Run Line,,Total,,1st Half (5 Inn.),,2nd Half,,,,
1-Apr,10:00am,STL-112,PIT+102,PIT-180,STL+160,6.5 +100,6.5 -120,STL-115,PIT-105,STL-115,PIT-105,0001.csv
1-Apr,1:15pm,STL-112,PIT+102,PIT-180,STL+160,6.5 +100,6.5 -120,STL-115,PIT-105,STL-115,PIT-105,0001.csv
1-Apr,4:20pm,STL-109,PIT-101,PIT-180,STL+160,6.5 +100,6.5 -120,STL-115,PIT-105,STL-115,PIT-105,0001.csv
1-Apr,6:05pm,STL-110,PIT+100,PIT-200,STL+170,6.5 +100,6.5 -120,STL-115,PIT-105,STL-115,PIT-105,0001.csv
1-Apr,7:30pm,STL-109,PIT-101,PIT-200,STL+170,6.5 +100,6.5 -120,STL-115,PIT-105,STL-115,PIT-105,0001.csv
1-Apr,7:50pm,PIT-105,STL-105,PIT-200,STL+170,6.5 +100,6.5 -120,STL-115,PIT-105,STL-115,PIT-105,0001.csv
1-Apr,10:10pm,STL-106,PIT-104,PIT-200,STL+170,6.5 +100,6.5 -120,STL-115,PIT-105,STL-115,PIT-105,0001.csv
1-Apr,10:10pm,STL-106,PIT-104,PIT-200,STL+170,6.5 +100,6.5 -120,PIT-104,STL-110,STL-115,PIT-105,0001.csv
1-Apr,10:15pm,STL-106,PIT-104,PIT-200,STL+170,6.5 +100,6.5 -120,STL-115,PIT-105,STL-115,PIT-105,0001.csv
1-Apr,10:20pm,PIT-109,STL-101,PIT-200,STL+170,6.5 +100,6.5 -120,STL-115,PIT-105,STL-115,PIT-105,0001.csv
2-Apr,12:05am,PIT-105,STL-105,PIT-200,STL+170,6.5 +100,6.5 -120,STL-115,PIT-105,STL-115,PIT-105,0001.csv
2-Apr,12:05am,PIT-105,STL-105,PIT-200,STL+170,6.5 +100,6.5 -120,PIT-105,STL-110,STL-115,PIT-105,0001.csv
2-Apr,12:25am,PIT-109,STL-101,PIT-200,STL+170,6.5 +100,6.5 -120,PIT-109,STL-110,STL-115,PIT-105,0001.csv
2-Apr,12:55am,PIT-105,STL-105,PIT-200,STL+170,6.5 +100,6.5 -120,PIT-105,STL-110,STL-115,PIT-105,0001.csv
2-Apr,4:45am,PIT-109,STL-101,PIT-200,STL+170,6.5 +100,6.5 -120,PIT-109,STL-110,STL-115,PIT-105,0001.csv
2-Apr,8:45am,PIT-109,STL-101,PIT-200,STL+170,6.5 +100,6.5 -120,PIT-109,STL-110,STL-115,PIT-105,0001.csv
2-Apr,8:55am,PIT-109,STL-101,PIT-200,STL+170,6.5 +100,6.5 -120,PIT-115,STL-105,STL-115,PIT-105,0001.csv
2-Apr,9:00am,PIT-109,STL-101,PIT-200,STL+170,6.5 +100,6.5 -120,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,9:00am,PIT-109,STL-101,PIT-200,STL+170,6.5 +100,6.5 -120,PIT-115,STL-105,STL-115,PIT-105,0001.csv
2-Apr,9:20am,PIT-108,STL-102,PIT-200,STL+170,6.5 +100,6.5 -120,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,10:50am,PIT-110,STL+100,PIT-200,STL+170,6.5 +100,6.5 -120,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,11:55am,PIT-110,STL+100,PIT-200,STL+170,6.5 +105,6.5 -125,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,12:55pm,PIT-110,STL+100,STL-230,PIT+190,6.5 +105,6.5 -125,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,1:00pm,PIT-110,STL+100,PIT-200,STL+170,6.5 +105,6.5 -125,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,1:10pm,PIT-110,STL+100,PIT-200,STL+170,6.5 +100,6.5 -120,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,1:45pm,PIT-110,STL+100,PIT-200,STL+170,6.5 +105,6.5 -125,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,2:25pm,PIT-110,STL+100,STL-230,PIT+190,6.5 +105,6.5 -125,PIT-115,STL-105,STL-120,PIT+100,0001.csv
2-Apr,2:25pm,PIT-110,STL+100,STL-230,PIT+190,6.5 +105,6.5 -125,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,2:30pm,PIT-110,STL+100,STL-230,PIT+190,6.5 +105,6.5 -125,PIT-115,STL-105,STL-120,PIT+100,0001.csv
2-Apr,3:05pm,PIT-110,STL+100,STL-225,PIT+185,6.5 +105,6.5 -125,PIT-115,STL-105,STL-120,PIT+100,0001.csv
2-Apr,3:30pm,PIT-110,STL+100,STL-225,PIT+185,6.5 +105,6.5 -125,PIT-115,STL-105,STL-120,PIT+100,0001.csv
2-Apr,4:20pm,PIT-110,STL+100,STL-230,PIT+190,6.5 +105,6.5 -125,PIT-115,STL-105,STL-120,PIT+100,0001.csv
2-Apr,4:25pm,PIT-110,STL+100,STL-230,PIT+190,6 -120,6 +100,PIT-115,STL-105,STL-120,PIT+100,0001.csv
2-Apr,4:30pm,PIT-110,STL+100,STL-225,PIT+185,6 -120,6 +100,PIT-115,STL-105,STL-120,PIT+100,0001.csv
2-Apr,5:10pm,PIT-110,STL+100,STL-225,PIT+185,6 -120,6 +100,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,5:55pm,PIT-110,STL+100,STL-230,PIT+190,6.5 +105,6.5 -125,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,6:00pm,PIT-115,STL+105,STL-230,PIT+190,6.5 +105,6.5 -125,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,6:25pm,PIT-115,STL+105,STL-225,PIT+185,6.5 +105,6.5 -125,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,7:00pm,PIT-115,STL+105,STL-230,PIT+190,6.5 +105,6.5 -125,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,7:05pm,PIT-115,STL+105,STL-225,PIT+185,6.5 +105,6.5 -125,PIT-115,STL-105,STL-120,PIT+100,0001.csv
2-Apr,7:05pm,PIT-115,STL+105,STL-225,PIT+185,6.5 +105,6.5 -125,PIT-115,STL-105,STL-130,PIT+100,0001.csv
2-Apr,9:00pm,PIT-120,STL+110,STL-225,PIT+185,6.5 +105,6.5 -125,PIT-115,STL-105,STL-120,PIT+100,0001.csv
2-Apr,9:30pm,PIT-120,STL+110,STL-225,PIT+185,6.5 +105,6.5 -125,PIT-115,STL-105,STL-120,PIT+100,0001.csv
2-Apr,10:05pm,PIT-115,STL+105,STL-225,PIT+185,6 -120,6 +100,PIT-115,STL-105,STL-120,PIT+100,0001.csv
3-Apr,12:15am,PIT-121,STL+111,STL-225,PIT+185,6 -120,6 +100,PIT-115,STL-105,STL-120,PIT+100,0001.csv
3-Apr,3:00am,PIT-121,STL+111,STL-220,PIT+180,6 -120,6 +100,PIT-115,STL-105,STL-120,PIT+100,0001.csv
3-Apr,3:20am,PIT-121,STL+111,STL-220,PIT+180,6 -120,6 +100,PIT-115,STL-105,STL-120,PIT+100,0001.csv
3-Apr,5:40am,PIT-121,STL+111,STL-220,PIT+180,6 -120,6 +100,PIT-115,STL-105,STL-120,PIT+100,0001.csv
3-Apr,6:50am,PIT-118,STL+108,STL-220,PIT+180,6 -120,6 +100,PIT-115,STL-105,STL-120,PIT+100,0001.csv
3-Apr,8:15am,PIT-121,STL+111,STL-220,PIT+180,6 -120,6 +100,PIT-115,STL-105,STL-120,PIT+100,0001.csv
3-Apr,8:25am,PIT-121,STL+111,STL-220,PIT+180,6 -120,6 +100,PIT-115,STL-105,STL-120,PIT+100,0001.csv
3-Apr,8:40am,PIT-115,STL+105,STL-220,PIT+180,6 -120,6 +100,PIT-115,STL-105,STL-120,PIT+100,0001.csv
3-Apr,8:45am,PIT-115,STL+105,STL-220,PIT+180,6 -120,6 +100,PIT-115,STL-105,STL-120,PIT+100,0001.csv
3-Apr,9:00am,PIT-115,STL+105,STL-220,PIT+180,6 -120,6 +100,PIT-115,STL-105,STL-120,PIT+100,0001.csv
3-Apr,9:05am,PIT-125,STL+115,STL-220,PIT+180,6 -120,6 +100,PIT-115,STL-105,STL-120,PIT+100,0001.csv
3-Apr,9:05am,PIT-125,STL+115,STL-220,PIT+180,6 -120,6 +100,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,9:30am,PIT-124,STL+114,STL-220,PIT+180,6 -120,6 +100,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,9:55am,PIT-124,STL+114,STL-220,PIT+180,6 -120,6 +100,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,10:15am,PIT-123,STL+113,STL-220,PIT+180,6 -120,6 +100,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,10:40am,PIT-125,STL+115,STL-220,PIT+180,6 -120,6 +100,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,11:10am,PIT-125,STL+115,STL-220,PIT+180,6 -125,6 +105,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,11:20am,PIT-125,STL+115,STL-220,PIT+180,6 -125,6 +105,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,11:40am,PIT-125,STL+115,STL-220,PIT+180,6.5 +100,6.5 -120,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,11:50am,PIT-125,STL+115,STL-210,PIT+180,6.5 +100,6.5 -120,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,11:55am,PIT-125,STL+115,STL-220,PIT+180,6.5 +100,6.5 -120,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,12:00pm,PIT-125,STL+115,STL-210,PIT+180,6.5 +100,6.5 -120,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,12:15pm,PIT-125,STL+115,STL-215,PIT+185,6.5 +100,6.5 -120,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,12:20pm,PIT-120,STL+110,STL-215,PIT+185,6.5 +100,6.5 -120,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,12:25pm,PIT-118,STL+108,STL-220,PIT+190,6.5 +100,6.5 -120,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,12:30pm,PIT-118,STL+108,STL-220,PIT+190,6.5 +100,6.5 -120,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,12:50pm,PIT-118,STL+108,STL-220,PIT+190,6.5 +100,6.5 -120,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,12:55pm,PIT-116,STL+106,STL-220,PIT+190,6.5 -105,6.5 -115,PIT-120,STL+100,STL-120,PIT+100,0001.csv
3-Apr,12:55pm,PIT-116,STL+106,STL-220,PIT+190,6.5 -105,6.5 -115,PIT-125,STL+105,STL-120,PIT+100,0001.csv
3-Apr,1:05pm,PIT-116,STL+106,STL-220,PIT+190,6.5 -110,6.5 -110,PIT-120,STL+100,STL-120,PIT+100,0001.csv
30-Mar,4:25pm,TAM-105,TOR-105,TAM-180,TOR+160,7 -110,7 -110,,,,,0002.csv
30-Mar,6:00pm,TOR-109,TAM-101,TAM-175,TOR+155,7 -110,7 -110,,,,,0002.csv
31-Mar,3:15pm,TOR-110,TAM+100,TAM-175,TOR+155,7 -110,7 -110,,,,,0002.csv
31-Mar,3:55pm,TOR-110,TAM+100,TAM-180,TOR+160,7 -115,7 -105,,,,,0002.csv
31-Mar,3:55pm,TOR-110,TAM+100,TAM-180,TOR+160,7 -115,7 -105,TOR-119,TAM-101,,,0002.csv
31-Mar,4:00pm,TOR-114,TAM+104,TAM-180,TOR+160,7 -115,7 -105,TOR-119,TAM-101,,,0002.csv
31-Mar,4:00pm,TOR-114,TAM+104,TAM-180,TOR+160,7 -115,7 -105,TOR-119,TAM-101,TOR-115,TAM-105,0002.csv
31-Mar,4:25pm,TOR-113,TAM+103,TAM-180,TOR+160,7 -115,7 -105,TOR-119,TAM-101,TOR-115,TAM-105,0002.csv
31-Mar,4:30pm,TOR-116,TAM+106,TAM-180,TOR+160,7 -115,7 -105,TOR-119,TAM-101,TOR-115,TAM-105,0002.csv
31-Mar,4:35pm,TOR-115,TAM+105,TAM-180,TOR+160,7 -115,7 -105,TOR-119,TAM-101,TOR-115,TAM-105,0002.csv
31-Mar,4:50pm,TOR-115,TAM+105,TAM-170,TOR+150,7 -115,7 -105,TOR-119,TAM-101,TOR-115,TAM-105,0002.csv
31-Mar,5:25pm,TOR-115,TAM-105,TAM-170,TOR+150,7 -115,7 -105,TOR-119,TAM-101,TOR-115,TAM-105,0002.csv
31-Mar,5:45pm,TOR-114,TAM+104,TAM-170,TOR+150,7 -115,7 -105,TOR-119,TAM-101,TOR-115,TAM-105,0002.csv
31-Mar,5:50pm,TOR-114,TAM+104,TAM-170,TOR+150,7 -110,7 -110,TOR-119,TAM-101,TOR-115,TAM-105,0002.csv
31-Mar,6:25pm,TOR-114,TAM+104,TAM-170,TOR+150,7 -115,7 -105,TOR-119,TAM-101,TOR-115,TAM-105,0002.csv
31-Mar,6:45pm,TOR-114,TAM+104,TAM-170,TOR+150,7 -115,7 -105,TOR-120,TAM+100,TOR-115,TAM-105,0002.csv
31-Mar,7:00pm,TOR-114,TAM+104,TAM-170,TOR+150,7 -110,7 -110,TOR-120,TAM+100,TOR-115,TAM-105,0002.csv
31-Mar,7:40pm,TOR-114,TAM+104,TAM-175,TOR+155,7 -110,7 -110,TOR-120,TAM+100,TOR-115,TAM-105,0002.csv
31-Mar,7:50pm,TOR-114,TAM+104,TAM-170,TOR+150,7 -105,7 -115,TOR-120,TAM+100,TOR-115,TAM-105,0002.csv
1-Apr,12:30am,TOR-112,TAM+102,TAM-170,TOR+150,7 -105,7 -115,TOR-120,TAM+100,TOR-115,TAM-105,0002.csv
1-Apr,10:20am,TOR-114,TAM+104,TAM-170,TOR+150,7 -105,7 -115,TOR-120,TAM+100,TOR-115,TAM-105,0002.csv
1-Apr,10:50am,TOR-114,TAM+104,TAM-175,TOR+155,7 -110,7 -110,TOR-120,TAM+100,TOR-115,TAM-105,0002.csv
1-Apr,11:35am,TOR-115,TAM+105,TAM-175,TOR+155,7 -110,7 -110,TOR-120,TAM+100,TOR-115,TAM-105,0002.csv
1-Apr,11:55am,TOR-115,TAM+105,TAM-170,TOR+150,7 -105,7 -115,TOR-120,TAM+100,TOR-115,TAM-105,0002.csv
1-Apr,12:20pm,TOR-115,TAM+105,TAM-170,TOR+150,7 -110,7 -110,TOR-120,TAM+100,TOR-115,TAM-105,0002.csv
1-Apr,12:50pm,TOR-115,TAM+105,TAM-170,TOR+150,7 -105,7 -115,TOR-120,TAM+100,TOR-115,TAM-105,0002.csv
1-Apr,3:05pm,TOR-112,TAM+102,TAM-170,TOR+150,7 -105,7 -115,TOR-120,TAM+100,TOR-115,TAM-105,0002.csv
1-Apr,6:05pm,TOR-115,TAM+105,TAM-170,TOR+150,7 -105,7 -115,TOR-120,TAM+100,TOR-115,TAM-105,0002.csv
2-Apr,1:20am,TOR-115,TAM+105,TAM-175,TOR+155,7 -105,7 -115,TOR-120,TAM+100,TOR-115,TAM-105,0002.csv
2-Apr,9:05am,TOR-115,TAM+105,TAM-175,TOR+155,7 -105,7 -115,TOR-120,TAM+100,TOR-130,TAM+100,0002.csv
2-Apr,9:15am,TOR-115,TAM+105,TAM-175,TOR+155,7 -105,7 -115,TOR-120,TAM+100,TOR-130,TAM+100,0002.csv
2-Apr,11:45am,TOR-111,TAM+101,TAM-175,TOR+155,7 -105,7 -115,TOR-120,TAM+100,TOR-130,TAM+100,0002.csv
2-Apr,6:05pm,TOR-110,TAM+100,TAM-175,TOR+155,7 -105,7 -115,TOR-120,TAM+100,TOR-130,TAM+100,0002.csv
2-Apr,7:05pm,TOR-110,TAM+100,TAM-175,TOR+155,7 -105,7 -115,TOR-120,TAM+100,TOR-120,TAM+100,0002.csv
3-Apr,12:20am,TOR-110,TAM+100,TAM-175,TOR+155,7 -105,7 -115,TOR-115,TAM-105,TOR-120,TAM+100,0002.csv
3-Apr,12:25am,TAM-105,TOR-105,TAM-175,TOR+155,7 -105,7 -115,TOR-115,TAM-105,TOR-120,TAM+100,0002.csv
3-Apr,5:40am,TAM-105,TOR-105,TAM-175,TOR+155,7 -105,7 -115,TOR-120,TAM+100,TOR-120,TAM+100,0002.csv
3-Apr,5:45am,TOR-110,TAM+100,TAM-175,TOR+155,7 -105,7 -115,TOR-120,TAM+100,TOR-120,TAM+100,0002.csv
3-Apr,8:30am,TOR-110,TAM+100,TAM-175,TOR+155,7 -105,7 -115,TOR-120,TAM+100,TOR-120,TAM+100,0002.csv
3-Apr,8:40am,TOR-110,TAM+100,TAM-175,TOR+155,7 -105,7 -115,TOR-120,TAM+100,TOR-120,TAM+100,0002.csv
3-Apr,8:45am,TOR-110,TAM+100,TAM-175,TOR+155,7 -105,7 -115,TOR-115,TAM-105,TOR-120,TAM+100,0002.csv
3-Apr,8:45am,TOR-110,TAM+100,TAM-175,TOR+155,7 -105,7 -115,TOR-115,TAM-105,TOR-125,TAM+105,0002.csv
3-Apr,9:00am,TOR-110,TAM+100,TAM-175,TOR+155,7 -110,7 -110,TOR-115,TAM-105,TOR-125,TAM+105,0002.csv
3-Apr,9:10am,TOR-110,TAM+100,TAM-175,TOR+155,7 -110,7 -110,TOR-115,TAM-105,TOR-125,TAM+105,0002.csv
3-Apr,9:45am,TAM-105,TOR-105,TAM-175,TOR+155,7 -110,7 -110,TOR-115,TAM-105,TOR-125,TAM+105,0002.csv
3-Apr,9:50am,TOR-110,TAM+100,TAM-175,TOR+155,7 -110,7 -110,TOR-115,TAM-105,TOR-125,TAM+105,0002.csv
3-Apr,9:55am,TOR-110,TAM+100,TAM-175,TOR+155,7 -110,7 -110,TOR-115,TAM-105,TOR-125,TAM+105,0002.csv
3-Apr,10:00am,TAM-105,TOR-105,TAM-175,TOR+155,7 -110,7 -110,TOR-115,TAM-105,TOR-125,TAM+105,0002.csv
3-Apr,10:00am,TAM-105,TOR-105,TAM-175,TOR+155,7 -110,7 -110,TAM-105,TOR-110,TOR-125,TAM+105,0002.csv
3-Apr,10:10am,TOR-110,TAM+100,TAM-175,TOR+155,7 -110,7 -110,TAM+100,TOR-110,TOR-125,TAM+105,0002.csv
3-Apr,10:15am,TAM-105,TOR-105,TAM-175,TOR+155,7 -110,7 -110,TAM-105,TOR-110,TOR-125,TAM+105,0002.csv
3-Apr,10:35am,TAM-115,TOR+105,TAM-175,TOR+155,7 -110,7 -110,TAM-115,TOR-110,TOR-125,TAM+105,0002.csv
3-Apr,10:40am,TAM-113,TOR+103,TAM-175,TOR+155,7 -110,7 -110,TAM-113,TOR-110,TOR-125,TAM+105,0002.csv
3-Apr,11:00am,TAM-110,TOR+100,TAM-175,TOR+155,7 -110,7 -110,TAM-110,TOR-110,TOR-125,TAM+105,0002.csv
3-Apr,11:10am,TAM-110,TOR+100,TOR-210,TAM+175,7 -110,7 -110,TAM-110,TOR-110,TOR-125,TAM+105,0002.csv
3-Apr,11:20am,TAM-115,TOR+105,TOR-210,TAM+175,7 -110,7 -110,TAM-115,TOR-110,TOR-125,TAM+105,0002.csv
3-Apr,11:30am,TAM-114,TOR+104,TOR-210,TAM+175,7 -110,7 -110,TAM-114,TOR-110,TOR-125,TAM+105,0002.csv
3-Apr,11:35am,TAM-115,TOR+105,TOR-210,TAM+175,7 -110,7 -110,TAM-115,TOR-110,TOR-125,TAM+105,0002.csv
3-Apr,11:45am,TAM-115,TOR+105,TOR-210,TAM+175,7 -115,7 -105,TAM-115,TOR-110,TOR-125,TAM+105,0002.csv
3-Apr,12:20pm,TAM-115,TOR+105,TOR-210,TAM+175,7 -115,7 -105,TAM-115,TOR-105,TOR-125,TAM+105,0002.csv
3-Apr,12:25pm,TAM-117,TOR+107,TOR-210,TAM+175,7 -110,7 -110,TAM-115,TOR-105,TOR-125,TAM+105,0002.csv
3-Apr,12:30pm,TAM-117,TOR+107,TOR-210,TAM+175,7 -120,7 +100,TAM-115,TOR-105,TOR-125,TAM+105,0002.csv
3-Apr,1:40pm,TAM-119,TOR+109,TOR-210,TAM+175,7 -120,7 +100,TAM-115,TOR-105,TOR-125,TAM+105,0002.csv
3-Apr,1:50pm,TAM-120,TOR+110,TOR-210,TAM+175,7 -120,7 +100,TAM-115,TOR-105,TOR-125,TAM+105,0002.csv
3-Apr,1:55pm,TAM-120,TOR+110,TOR-210,TAM+175,7 -120,7 +100,TAM-125,TOR+105,TOR-125,TAM+105,0002.csv
3-Apr,2:05pm,TAM-117,TOR+107,TOR-210,TAM+175,7 -120,7 +100,TAM-125,TOR+105,TOR-125,TAM+105,0002.csv
3-Apr,2:25pm,TAM-117,TOR+107,TOR-210,TAM+175,7 -125,7 +105,TAM-125,TOR+105,TOR-125,TAM+105,0002.csv
3-Apr,2:35pm,TAM-117,TOR+107,TOR-210,TAM+175,7 -125,7 +105,TAM-125,TOR+105,TOR-125,TAM+105,0002.csv
3-Apr,3:30pm,TAM-117,TOR+107,TOR-210,TAM+175,7 -125,7 +105,TAM-125,TOR+105,TOR-125,TAM+105,0002.csv
3-Apr,3:35pm,TAM-115,TOR+105,TOR-210,TAM+175,7 -125,7 +105,TAM-125,TOR+105,TOR-125,TAM+105,0002.csv
3-Apr,3:40pm,TAM-115,TOR+105,TOR-210,TAM+175,7 -125,7 +105,TAM-125,TOR+105,TOR-125,TAM+105,0002.csv
3-Apr,3:50pm,TAM-115,TOR+105,TOR-210,TAM+175,7 -125,7 +105,TAM-125,TOR+105,TOR-125,TAM+105,0002.csv
3-Apr,3:55pm,TAM-115,TOR+105,TOR-210,TAM+175,7 -125,7 +105,TAM-125,TOR+105,TOR-125,TAM+105,0002.csv
3-Apr,4:00pm,TAM-115,TOR+105,TOR-210,TAM+175,7 -125,7 +105,TAM-125,TOR+105,TOR-125,TAM+105,0002.csv
3-Apr,5:45pm,TAM-115,TOR+105,TOR-210,TAM+175,7 -125,7 +105,TAM-125,TOR+105,TOR-125,TAM+105,0002.csv
3-Apr,5:50pm,TAM-115,TOR+105,TOR-210,TAM+175,7 -125,7 +105,TAM-125,TOR+105,TOR-125,TAM+105,0002.csv
30-Mar,4:30pm,NYM-112,KAN+102,KAN-170,NYM+150,7 +100,7 -120,,,,,0003.csv
30-Mar,6:00pm,NYM-115,KAN+105,KAN-165,NYM+145,7 +100,7 -120,,,,,0003.csv
30-Mar,6:45pm,NYM-115,KAN+105,KAN-165,NYM+145,7 -110,7 -110,,,,,0003.csv
30-Mar,6:50pm,NYM-115,KAN+105,KAN-165,NYM+145,7 -120,7 +100,,,,,0003.csv
31-Mar,3:15pm,NYM-110,KAN+100,KAN-165,NYM+145,7 -120,7 +100,,,,,0003.csv
31-Mar,3:55pm,NYM-113,KAN+103,KAN-175,NYM+155,7 -120,7 +100,,,,,0003.csv
31-Mar,4:00pm,NYM-118,KAN+108,KAN-175,NYM+155,7 -120,7 +100,,,,,0003.csv
31-Mar,4:00pm,NYM-118,KAN+108,KAN-175,NYM+155,7 -120,7 +100,NYM-120,KAN+100,,,0003.csv
31-Mar,4:00pm,NYM-118,KAN+108,KAN-175,NYM+155,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
31-Mar,4:25pm,NYM-118,KAN+108,KAN-175,NYM+155,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
31-Mar,4:50pm,NYM-115,KAN+105,KAN-175,NYM+155,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
31-Mar,5:00pm,NYM-115,KAN+105,KAN-110,NYM-110,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
31-Mar,5:05pm,NYM-115,KAN+105,KAN-110,NYM-110,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
31-Mar,5:30pm,NYM-115,KAN+105,KAN-110,NYM-110,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
31-Mar,5:45pm,NYM-115,KAN+105,KAN-165,NYM+145,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
31-Mar,5:50pm,NYM-115,KAN+105,KAN-165,NYM+145,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
31-Mar,6:25pm,NYM-115,KAN+105,KAN-175,NYM+155,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
31-Mar,6:30pm,NYM-115,KAN+105,KAN-175,NYM+155,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
1-Apr,10:10am,NYM-115,KAN+105,KAN-170,NYM+150,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
1-Apr,10:35am,NYM-115,KAN+105,KAN-175,NYM+155,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
1-Apr,12:20pm,NYM-115,KAN+105,KAN-165,NYM+145,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
1-Apr,1:00pm,NYM-115,KAN+105,KAN-170,NYM+150,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
1-Apr,2:00pm,NYM-115,KAN+105,KAN-170,NYM+150,7 -120,7 +100,NYM-120,KAN+100,NYM-119,KAN-101,0003.csv
